ser	ser/organismo
meio	região_geográfica/região/área_geográfica/componente/efetuação/execução/realização/implementação/condição/situação/estado
colégio	estabelecimentos_de_ensino/edifício/prédio
turno	horas
condição	premissa/pressuposto/afirmação/declaração/condição/situação/estado/condição/situação/estado/condição/situação/estado
plano	pensamento/idéia/conceito/opinião/plano/esquema/estrutura/organização/ordem/sistema/fotografia/retrato/imagem/foto/ilustração/figura/desenho/imagem
direção	mensagem/assunto/tópico/conteúdo/tendência
problema	dificuldade/problema/ocorrente/acontecimento/ocorrência/tema/questão/objecto_mental/dificuldade/obstáculo/problema
associação	ligação/relação/organização/memória
executivo	líder/responsável/cabeça/chefe/liderança
época	idade/tempo/período/escala_de_tempo_geológico/era/época/século/tempo/etapa/período
civil	cidadão/cidadã
saúde	prosperidade/sucesso/saúde/eudemonismo/bem-estar/estado/estado/situação/condição
educação	objecto_mental/pedagogia/atividade/ocupação
fazenda	imobiliária/imóvel/possessão/propriedade/oficina/laboratório/emprego/locais_de_trabalho/trabalho/chácara/granja/quinta/sítio/fazenda/artefato
diretório	obra_de_referência
maioria	idade
instituição	organização
situação	condição/situação/estado/condição/situação/estado
questão	pergunta/questão/inquérito/tema/questão/precariedade/incerteza
companhia	corpo/corpo/organização
trabalhador	obreiro/trabalhador/operário/indivíduo/pessoa/alguém/ser_humano/alma
região	lugar/locação/ponto/lugar/localização
hora	unidades_de_tempo/unidade_de_tempo/hora/leitura/dado
agricultura	cultivo
carta	papel/texto/documentos/documento
vaga	espaço/movimento
revista	jornal/periódico/publicação_periódica/revista/bens/produção/produto
estrangeiro	turista/viajante
tarde	jornada/dia/jornada/dia/tempo/etapa/período
chapa	organização
porto	porto
ordem	estado/estado/situação/condição/organização/sociedade/ordem/união/associação/organização/organização/petição/requisição/apelo/solicitação/requerimento/pedido/atos_da_fala/acto_de_fala
bem	possessão/propriedade/amante/amado/predominância/vantagem/benefício/bem/qualidade
mineiro	obreiro/trabalhador/operário
contrário	oposição/oposição
liderança	chefe/líder/predominância/vantagem/benefício/liderança/atividade/ocupação
energia	força/violência
comunista	político
artigo	artigo/notícias/notícia/artigo/notícias/notícia/informação/não-ficção/artigo/peça/artigo/objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
posto	posição/hierarquia/classe/posto/classe/condição/posição/status/estado
formação	posição/espaçamento/herança/atividade/ocupação
técnico	chefe/líder
luta	certame/partida/concurso/competição/torneio/jogo/luta/conflito/batalha/combate/empenho/esforço
revolução	ação_em_grupo/ação_em_grupo
controle	estado/estado/situação/condição/habilidade/modalidade/disciplina
superior	lado/face
interesse	interesse
centro	lugar/centro/ponto_médio/edifício/prédio
fato	informação/artigo_de_vestuário/roupa/vestuário
propriedade	possessão/propriedade/concepção/idéia/conceito/ideia/qualidade/controle/controlo/propriedade/bem/posse/conexão/relação
construção	edificação/construção
volta	vinda/chegada
empresário	empresário
monopólio	ascendencia/controle/dominancia/superioridade/domínio
segurança	estado/estado/situação/condição
morte	alteração/mudança/variação/modificação
abertura	impressão
responsável	chefe/líder
aprovação	aplauso/aprovação/apoio/suporte/triunfo/êxito/sucesso
família	família/sangue/descendência/linhagem/grupos_sociais/concepção/idéia/conceito/ideia
sessão	encontro/reunião
década	tempo/etapa/período
iniciativa	começo/início
cultura	ontogenia/ontogénese/crescimento/sociedade/atitude
resultado	final/conclusão/resultado/fim/chegada/ocorrente/acontecimento/ocorrência/afirmação/declaração/fenômeno/fenómeno
documento	material_escrito/documentos
departamento	unidade_administrativa/órgão_público/edifício/prédio
número	algarismo/dígito/número/custo/aceno/emblema/símbolos/símbolo/sinal/simbolo/sinal/concepção/idéia/conceito/ideia/quantidade/número/propriedade/atributo
momento	instante/minuto/segundo/momento/presente/hoje/actualidade
lugar	gleba/terreno/região/região_de_espaço/lugar/local/posição/atividade/ocupação/objeto/objeto_físico
pai	genitor/mãe/pai/progenitor/genitor/pai/papá/painho/papai
mato	planta_lenhosa/região_geográfica/região/área_geográfica
produção	apresentação/espectáculo/show/bens/produção/produto/bens/produção/produto/produção/ato/ação/feito/acção
carvalho	árvore
operação	atividade_comercial/atividade/ocupação/processos_físicos
classe	posição/hierarquia/classe/posto/classe/condição/posição/status/estado/jogo/grupo/reunião/pessoal/população/povo/gente/género/classe/tipo/categoria/raça/espécies/concepção/idéia/conceito/ideia/avaliação/quarto/aposento/sala/condição/situação/estado
ponto	disco/objeto/objeto_físico
legislação	governo/governação/administração
interior	zona_rural/área_rural/campo/região
dívida	dívida/obrigação/dívida/obrigação
ensino	pedagogia/atividade/ocupação
convenção	reunião/ortodoxia
exercício	treinamento/preparação/treino
advogado	profissional_liberal/profissional/indivíduo/pessoa/alguém/ser_humano/alma
pasta	mistura/condimento
jornalista	comunicador
discurso	atos_da_fala/acto_de_fala/comunicado/comunicação/uma_comunicação/comunicação/mensagem
orientação	curso
ciência	campo/domínio/disciplina
esquema	gráfico/carta_náutica/representação/conceitualização/representação_mental/estrutura/organização/ordem/sistema/afiguração/imagem/ilustração/figura/desenho/representação/ilustração/figura/desenho/imagem
crime	transgressão
irmão	irmão/conhecido/amiga/camarada/amizade/amigo/frei/monge/frade
sociedade	ligação/relação/organização/sociedade/ordem/união/associação/organização/grupos_sociais/contrato/acordo
cerca	barreira/obstáculo
fundo	moeda/dinheiro/divisa/lado/face/vista/panorama
gabinete	comite_planejador
delegação	organização
realização	acção/ação/atividade/ato/acção/ação/atividade/ato
aranha	aracnídeo/aracnideos/aracnídeos
disputa	oratória/controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância/luta/conflito
fundação	suposição/pressuposição/hipótese/conexão/relação
necessidade	estado/estado/situação/condição/característica_psicológica/coisa
pesquisa	inquérito/investigação/pesquisa/inquérito/investigação/pesquisa/investigação
mercado	mercado/feira
aumento	aumento/acrescentamento/quantidade/número/aumento/processos_físicos
assistência	atividade/ocupação
pessoa	propriedade/característica/atributo/predicado/causa/causador/ser/organismo/ser/organismo
conferência	reunião/reunião/ensino/educação/pedagogia
sentido	significância/significação/intenção/significado/faculdade/talento
mudança	transmutação/mudança/transformação/alteração/mudança/variação/modificação/ocorrente/acontecimento/ocorrência/mudança/mudança
linha	fronteira/formação/texto
pessoal	organização/pessoal/população/povo/gente/grupo/agrupação/conjunto
horizonte	fronteira
preço	qualidade/preço/preços/qualidade/preço/preços
povo	pessoal/população/povo/gente/pessoal/população/povo/gente/grupo/agrupação/conjunto/grupo/agrupação/conjunto
indicação	aconselhamento/conselho/direção/comunicação/mensagem
embaixador	servidor_público/funcionário/serventuário
terra	solo/objeto/objeto_físico
promulgação	afirmação/declaração
tropa	corpo
intervenção	política_externa/política_externa
combate	certame/partida/concurso/competição/torneio/jogo/ação_em_grupo/luta/conflito/luta/conflito/batalha/combate
profissional	adulto/de_maior
castelo	fortaleza/fortificação
inquérito	inquérito/investigação/pesquisa/questionamento/inquérito/investigação/investigação
pagamento	comércio/mercantilismo/comercialismo
exploração	expedição
responsabilidade	susceptibilidade/suscetibilidade/controle_social
negociação	debate/discussão
missão	organização
exterior	superfície
debate	oratória/debate/discussão/conversação/conversa
clube	organização/sociedade/ordem/união/associação
marinha	serviço_militar
tentativa	atividade/ocupação
possibilidade	concepção/idéia/conceito/ideia/alternativa/opção/escolha/intercorrência/eleição
sindicato	organização
filha	filha
assessor	autoridade
forte	bem/recurso/virtude/vantagem/propriedade
casa	endereço/estrutura/tecido/edifício/alojamento/abrigo/casa/aposento/habitação/moradia/residência/casa/lar/morada/domicílio/edifício/prédio
assunto	mensagem/assunto/tópico/conteúdo/objecto_mental/coisa
acusação	asserção
investimento	activos/recursos/ativo/ativos/bens
sede	escritório
imposto	imposto
princípio	momento/instante/lei_da_natureza/lei/direito_natural/legislação_sobre_a_natureza/direito_natural
caráter	fama/renome/reputação/honra
transporte	industria/comércio/negócio/empresa/movimento
renúncia	documento/documentação/renúncia
unidade	totalidade
aposentadoria	terminação/termino/conclusão
demissão	nota/notificação/aviso_prévio/comunicação/aviso
golpe	ação_em_grupo/golpe
liberdade	liberdades_civis/liberdade/condição/situação/estado
valor	qualidade/quantitativo/quantidade/medida/quantia
conhecido	ligação/relação/indivíduo/pessoa/alguém/ser_humano/alma
virtude	bondade/virtude/moralidade/moral/virtude/qualidade
concessão	conformidade/aprovação/acordo/consenso/aliança/pacto
opinião	mensagem/assunto/tópico/conteúdo/objecto_mental/objecto_mental
conflito	incompatibilidade/condição/situação/estado
encontro	convergência/assembléia/reunião
história	tempos_passados/passado/falsidade/mentira/história/falsidade/mentira/mensagem/assunto/tópico/conteúdo/artes_liberais/artes_liberais/ciências_humanas/artes_liberais/artes_liberais/ciências_humanas
dom	aquisição
título	título/subtítulo/prenome/nome_próprio/antenome/primeiro_nome/nome/denominação/nome_de_batismo/título/título
seção	parte/porção
quebra	ocorrente/acontecimento/ocorrência
esquerda	lugar/local/posição
delegado	representante
estudante	estudante/indivíduo/pessoa/alguém/ser_humano/alma/indivíduo/pessoa/alguém/ser_humano/alma
pressão	urgência/sensação
instalação	artefato
livro	publicação/edição/publicação/edição/bens/produção/produto
anistia	mandado
pena	material_animal/azar/má_sorte/infortúnio
café	bebida/restaurante
funcionário	trabalhador_especializado
médico	médico
revolta	luta/conflito
homem	esposa/esposo/marido/cônjuge/cónjuge/consorte/macho/varão/homem/adulto/de_maior
declaração	afirmação/declaração/afirmação/declaração
decreto	ato
manifestação	reunião/protesto
comitê	comité/comissão/junta/comitê/unidade_administrativa/órgão_público/organização
convite	petição/requisição/apelo/solicitação/requerimento/pedido/missiva/carta
entrevista	interrogatório
crescimento	processos_biológicos/processos_físicos
prazo	momento/instante
escolha	decisão/tomada_de_decisão
embaixada	organização
elemento	porção/parte/componente/categoria
servidor	servidor_público/funcionário/serventuário/trabalhador/trabalhador
articulação	anatomia/parte_do_corpo
relatório	documento/documentação/ensaio/ensaios
limitação	confinamento/lei/regra/regulamento/norma/desvantagem
dólar	papel-moeda/nota_de_dinheiro/nota_de_banco/nota/cédula
discussão	controvérsia/discordância/querela/discussão/disputa/discórdia/discrepância/discordo/desacordo/discordância/debate/discussão/conversação/conversa/comunicado/comunicação/uma_comunicação
igreja	igreja/casadeoração/lugares_de_prática_religiosa/templo
solução	mistura/solução/misturas_químicas/triunfo/êxito/sucesso
rádio	radiorreceptor/recetor/radioreceptor/receptor
diário	material_escrito/documentos
conta	petição/requisição/apelo/solicitação/requerimento/pedido/fatura/facturas/conta/factura/contas/extrato
crédito	dívidas/dívida/dívida/débito/activos/recursos/ativo/ativos/bens/recompensa/pagamento/aplauso/aprovação/obtenção/realização
papel	papel/papel/materiais/caracterização/atividade/ocupação
engenharia	campo/domínio/disciplina
tecnologia	campo/domínio/disciplina
corrente	massa_de_água/água/corpo_de_água/ligamento/acção/ação/atividade/ato
nível	posição/hierarquia/classe/posto
idéia	concepção/idéia/conceito/ideia/pensamento/idéia/conceito/opinião/objecto_mental
espírito	ser_sobrenatural/espirito/emoção/comoção/abalo/sentimento
parecer	resultado/resposta
proprietário	grande_fazendeiro/proprietário_de_terras/homemdenegócios/homem_de_negócios/empresário/negociante/comerciante
data	dia
autoridade	especialista/indivíduo/pessoa/alguém/ser_humano/alma
série	jornal/periódico/publicação_periódica/revista
informação	informação/mensagem/assunto/tópico/conteúdo
texto	livro/texto
estabelecimento	organização
idade	idade/tempo/período/escala_de_tempo_geológico/era/época/século/período_da_vida/época/período/tempo/etapa/período/propriedade/atributo
população	pessoal/população/povo/gente/grupo/agrupação/conjunto
manutenção	recurso/manutenção/reparo/reparação/conserto
taxa	relação_de_grandeza/imposto
operário	obreiro/trabalhador/operário/obreiro/trabalhador/operário/trabalhador
emprego	ofício/trabalho/serviço/emprego/função/lugar/profissão/ocupação/atividade/ocupação/condição/situação/estado
democracia	regimes_políticos
tema	aria/melodia/toada/mensagem/assunto/tópico/conteúdo/pensamento/idéia/conceito/opinião
viagem	jornada/viagem
naval	azul
academia	estabelecimento
campo	gleba/terreno/região/gleba/terreno/região/gleba/terreno/região/região_geográfica/região/área_geográfica/base_de_conhecimento/saber/conhecimento
afastamento	apatia/indiferença
produto	consequência/conseqüência/resultado/fim/efeito/soma/número/quantidade/objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
televisão	radiorreceptor/recetor/radioreceptor/receptor
comunicação	anúncio/aviso/idéia_abstrata/entidade_abstrata/abstração
dificuldade	dificuldade/problema/dificuldade/obstáculo/problema/qualidade/empenho/esforço
contrato	documento_oficial/negócio_jurídico
tese	tratado
prática	treinamento/preparação/treino
limite	limite/margem_interior/fronteira/borda/limite/fronteira/fronteiras/limite/fronteira/fronteiras
conjunto	parafernália
conselheiro	autoridade
dirigente	gerente/administrador
bloco	sólido/sólida/área/região/território/ambiente
orçamento	capital/fundo/afirmação/declaração
conseqüência	fenômeno/fenómeno
estrutura	propriedade/atributo/artefato
presença	existência/ser/existência/forma_de_vida/jeito_pessoal/maneira_pessoal
carneiro	bovídeos
ligação	estado/ligação/união/relação/ligação/telefonia/interação
edição	publicação/edição/impressão/obra/trabalho
protesto	resistência/violência/força
influência	consequência/conseqüência/resultado/fim/efeito/poder
episódio	programa/emissão
derrota	deceção/decepção/desapontamento
rede	organização/sistema/proteção/capa/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/sistemas_de_comunicações
histórico	tempos_passados/passado
fonte	comunicador/lugar
matéria	informação/mensagem/assunto/tópico/conteúdo/entidade_física
modo	efetuação/execução/realização/implementação
garantia	garantia/declaração/afirmação/declaração
federação	união
divisão	corpo/unidade_administrativa/órgão_público
motivo	pensamento/idéia/conceito/opinião/ornamento/característica_psicológica
engenheiro	indivíduo/pessoa/alguém/ser_humano/alma
contato	comunicado/comunicação/uma_comunicação/interação
investigação	inquérito/investigação/pesquisa
arma	arma/armamento/aparelho/ferramenta/instrumento
revisão	exercício/prática/manutenção
coluna	array/ordem
compromisso	reunião/encontro/afirmação/declaração
empréstimo	dívidas/dívida/dívida/débito
dissidência	divisão
autor	comunicador
nação	pessoal/população/povo/gente
conclusão	ocorrente/acontecimento/ocorrência/seção/parte
policial	oficial_de_polícia/agente/polícia/guarda/policial
adoção	aprovaçã0/aprovação/procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal
existência	existência/ser/existência/forma_de_vida
causa	procedimento_legal/procedimento_legal/procedimento_legal/procedimento_legal/empreendimento_de_risco/entidade_física
leite	bebida/lacticínio/produto_lácteo/laticínio
território	regiões/região/região_geográfica/região/área_geográfica
origem	ascendência/origem
fase	tempo/etapa/período
nomeação	nomeação/designação
negócio	transação/comércio/mercantilismo/comercialismo
adversário	indivíduo/pessoa/alguém/ser_humano/alma
venda	shopping/centros_comerciais/shopping_center/venda
confederação	união
folha	papel/papel/folhagem/folha/órgão_vegetal/órgão/jornal/imprensa/jornalismo
corpo	anatomia/parte_do_corpo/morto/cadáver/defunto/corpo/restos_mortais/estrutura_organica/corpo/corpo_humano/objeto_natural/objeto_natural/objeto_natural/objeto_natural
vale	depressão
redução	mudança_de_magnitude
rocha	objeto_natural/objeto_natural
renda	pano/tecido/fazenda/têxteis/tecido_têxtil
registro	documento/entrada/ingresso
expansão	aumento
emergência	crise
cruz	estrutura/tecido/edifício
conceito	pensamento/idéia/conceito/opinião/objecto_mental
substituto	suplente/dobro/agente
falta	deficiência/escassez/carência/falta/ausência/necessidade/carência/responsabilidade
mulher	mulher/mulher/mulher/esposa/esposo/marido/cônjuge/cónjuge/consorte/amante/amado/fêmea/adulto/de_maior
futuro	tempo
mesa	mesa/mobiliário/alfaia/movéis/móvel/mobília
atitude	atitude/compreensão/conhecimento/noção/cognição
âmbito	ambiente
gás	estados_físicos_da_matéria/fases_da_matéria
reação	força/resultado
nota	anúncio/aviso/notacao_musical/notação_musical/notação_musical/anotação/nota/comentário/carta_pessoal/fatura/facturas/conta/factura/contas/avaliação
exemplo	chefe/líder/ocorrente/acontecimento/ocorrência/informação/conhecimento
dinheiro	cobre/dinheiro/moeda/divisa/cobre/dinheiro/moeda/divisa/sistema_monetário/possessão/riqueza/bem
junta	comité/comissão/junta/comitê/unidade_administrativa/órgão_público
tendência	direcção/direção/rumo/curso/afeição/atitude
ambiente	região_geográfica/região/área_geográfica
autonomia	independência/liberdade
execução	acção/ação/atividade/ato
praça	gleba/terreno/região
disposição	natureza/índole/peculiaridade/feição
destaque	elemento/componente
saída	momento/instante/abertura
cruzeiro	viagem
amigo	conhecido/amiga/camarada/amizade/amigo/indivíduo/pessoa/alguém/ser_humano/alma
importação	objecto_posto_à_venda/fazenda/bens/bem/produto/artigo/mercadoria
juiz	servidor_público/funcionário/serventuário/oficial/árbitro/juiz/árbitro/adjudicator
patente	documento/documentação
abastecimento	atividade/ocupação
usina	planta/fábrica/usina
rebelde	subversivo/revolucionário/revolucionário/revolucionários/cruzado/reformador
razão	relação_de_grandeza/explicação/explanação
mão	acúmulo/aglomeração/colecção/coleção/auxílio/socorro/ajuda/assistência
luz	lâmpada/luz
intelectual	intelectual/intelecto
queda	rebaixamento/descenso/descida/fallout/gravitação/gravidade/desastre/alteração/mudança/variação/modificação
intenção	significância/significação/intenção/significado/mensagem/assunto/tópico/conteúdo/meta/alvo/intenção/objectivo/meta/alvo/intenção/objectivo/pensamento/idéia/conceito/opinião/objecto_mental/escolha/resolução/vontade/característica_psicológica
retorno	resultado/resposta/traslado/movimento/deslocamento/aquisição/compra/vinda/chegada
estrada	fronteira/estrada/caminho/via/rua/estrada
aplicação	utilização/uso
produtor	fazedor/criativo/creador/criador
mundo	pessoal/população/povo/gente/experiência/objeto_natural/objeto_natural
jogo	acúmulo/aglomeração/colecção/coleção/certame/partida/concurso/competição/torneio/jogo/recreaçao/diversão/recreaçao/diversão/recreaçao/diversão/atividade/ocupação
correio	entregador/mensagem/comunicado/comunicação/uma_comunicação
continuidade	tempo/etapa/período
lista	base_de_dados/banco_de_dados/lista/listagem/lista_numerada
troca	conversação/conversa/ação_em_grupo/mudança
manhã	tempo/etapa/período
visita	turista/viajante/visita/encontro/reunião
publicação	obra/trabalho
qualidade	característica/carácter_distintivo/qualidade/propriedade/atributo/concepção/idéia/conceito/ideia/grau/qualidade
alteração	ocorrente/acontecimento/ocorrência
serra	formação/formação_geológica
esforço	atividade/ocupação
quarto	quarto/aposento/sala
informática	ciências_aplicadas/ciência_aplicada/engenharia/ciências_aplicadas/tecnologia
assistente	trabalhador
humano	hominídeo
importância	qualidade/preço/preços/qualidade
mínimo	fragmento/pedaço/máximo
julgamento	decisão/tomada_de_decisão/procedimento_legal/procedimento_legal/processo_legal/devido_processo_legal/ato/ação/feito/acção
transferência	movimento
presente	doação/presente/dádiva/brinde/dom/aquisição/tempo
empregado	trabalhador
jovem	coorte
efeito	consequência/conseqüência/resultado/fim/efeito/consequência/conseqüência/resultado/fim/efeito/aspecto/aparência/semblante/fenômeno/fenómeno
consultor	autoridade
mandado	mandado
técnica	habilidade/habilidade/poder/capacidade/talento/habilidade
semana	tempo/etapa/período
preso	infortunado/desventurado/desafortunado
escritório	quarto/aposento/sala/estabelecimento_comercial/estabelecimento_de_negócios
proibição	acta/decreto
arrecadação	apelo/solicitação/petição/abaixo-assinado/requisição/requerimento/postulação
tv	radiorreceptor/recetor/radioreceptor/receptor
proteção	segurança/proteção/capa/atividade/ocupação
rua	rua/estrada
ampliação	aumento
meta	objecto_mental/poder/capacidade/talento/habilidade
aviação	indústria
conspiração	conspiração/complô/estratégia/planos/táctica
ataque	ataque/crítica/julgamento/criticismo/crítica/julgamento/criticismo/ataque/manobra/operação
instrumento	documento/documentação/instrumento/ferramenta/implemento/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento/equipamento/ferramenta/aparato/aparelho/mecanismo/dispositivo/instrumento
notícia	informação
grau	posição/hierarquia/classe/posto/prémio/prémio/prêmio/prêmios/galardão/grandeza/número/magnitude/propriedade/atributo
promoção	ocasião/chance/vez/mensagem/assunto/tópico/conteúdo/mudança
crítico	profissional_liberal/profissional
modelo	servidor/criado/assistente/ajudante/servidor/criado/assistente/ajudante/chefe/líder/exemplo/modelo/afiguração/imagem/ilustração/figura/desenho/representação
hoje	tempo
divulgação	informação
suspensão	intervalo_de_tempo/tempo/intervalo
acadêmico	intelectual/intelecto
funcionamento	processos_físicos
oportunidade	possibilidade/chance
assinatura	nome_de_batismo/primeiro_nome/nome_próprio/prenome/nome/antenome
propaganda	anúncio/propaganda/publicidade/promoção/informação/informação/mensagem/assunto/tópico/conteúdo
violência	intensidade/agressão/hostilidade
espaço	forma_amorfa/grafema/letra/locação/ponto/lugar/localização
atribuição	arrendamento_de_terras/alocação/atribuição/atribuição
ala	órgão_biologico/órgão/aerofólio
código	código
apreciação	respeito/deferência/classificação/categorização
tipo	género/classe/tipo/categoria/raça/espécies
