sânscrito	Agni/Ayurveda
ciências_jurídicas	residual/proibição/processual/prescrição/advogar/consensual/indevido/Direito_público/probatório/hereditário/maior/direito_público/substancial/pleitear/patrimonial/substantivo/jurisconsulto/justiça/Justiça/injunção/fungível/voto/sufrágio/sentenciar/amaldiçoar/rapto/testamento/Direito_internacional/título/Liberdade_de_expressão/liberdade_de_expressão/interdição/legalização/Adoção/adoção/premeditação/testemunhar/inválido/nulo/judiciário/condenação/conúbio/casamento/matrimônio/amnistia/legislador/Legislador/Procurador_Geral_da_República/procurador-geral_da_República/conspiração/argüido/réu/ré/quitação/Federal_Bureau_of_Investigation/Federal_bureau_of_investigation/FBI/contrariedade/moléstia/incômodo/pertubação/dolo/querelante/libelo/apelar/perdão/litigante/recusar/Curador/protocolar/registrar/condicional/projecto_de_lei/apelo/apelação/ditame/sentença/verificar/habeas_corpus/casa/patrimônio/passaporte/estatuto/Intimação/contratador/desapropriação/advocacia/direito/rescisão/vigência/vigor/revogação/Liberdade_de_reunião/Delinquência_juvenil/filiar/legado/barrister/Direito_Marítimo/Direito_do_mar/tribunal/corte/procuração/alienável/arbitragem/legislação/derivativo/testemunha/depoimento/liberdade_de_imprensa/provar/atestar/lei_marcial/Lei_Marcial/intimação/citação/licença/juízo/Direito_comercial/atenuar/remediar/mitigar/paliar/procurador/direito_administrativo/liberdade_religiosa/usufruto/Liberdades_civis/apresentar/entregar/alegação/veredito/advogada/advogado/jurista/condenar/sistema_eleitoral/pleito/legitimação/preempção/direitos_do_cidadão/preferir/juiz_de_paz/Juiz_de_Paz/declaração/bancarrota/Direito_civil/direito_civil/registro/estado_civil/coima/causa/processo/divórcio/encarceramento/promotor_de_justiça/escusar/perdoar/tabelião/notário/jurisdição/mandato/mandado/decreto/Constituição/constituição/common_law/Common_Law/julgamento/contestar/cliente/anistiar/lei/prender/encarcerar/aprisionar/direito_penal/direito_criminal/privilégio
ciência_política	turbulência/sicário/catecismo/conjuração/mandato/civilização/política/manifestação/assassina/conspiração
flora	peroxidase/coca/parasita/carnívoro/microorganismo/microrganismo/domar/cultivar/domesticar/fotossíntese/Fotossíntese/circulação/gregário/Fitoterapia/fitoterapia/acrescentar/propagar
linguística	Radical/inanimado/analítico/inaceitável/animado/descritivismo/tom/fonema/aceitável/sintético/vocativo/radical/raiz/gramática/Gramática/sintaxe/Sintaxe/reduplicar/Fonologia/tardio
Fisica	transiente/transformar/atrativo/aerodinâmico/supersimetria/tensão/polarizar/idêntico/desmagnetizar/entusiasmado/fluxo/colisão/átomo/gravitação/desaceleração/metaestável/desintegrar/lápis/hidrodinâmico/dinâmico/inércia/quark/gravidade/nuclear/magnético/métrica/atractor/reactor/eletrificar/eletrizar/luz/absorção/Absorção/energia/decair/dividir/quantum/dualidade/difusão/oscilação/potência/Potência/Pertubação/íman/magnete/liquidificar/liquefazer/paridade/molécula/cristalizar/gelar/congelar/solidificar
squash	serviço/Serviço
contabilidade	debitar/goodwill
língua	sincrônico/diacrônico/estilo/discurso/linguagem/idioma/acento/sotaque
Bioquimica	antagonismo/agonista/ADN/citocromo/lise
gramática	optativo/nominal/objeto/decompor/descritivo/infinito/interrogativo/qualificar/finito/reflexivo/intransitivo/acusativo/normativo/indicativo/futuro/nominativo/transitivo/sujeito/analisar/modificar/Sujeito/cláusula/oração
hóquei	ponteiro/assistência
termodinâmica	entropia/cíclico
Física_de_Partículas	sabor
Antigo_Testamento	Sem/Saul/Adão/maná/Maná/Jacó/Sodoma/Daniel/Maicol/Michael/Raquel/Bezerro_de_Ouro/bezerro_de_ouro/Jeremias/Rebeca/Isaque/Isaac/Sara/Moisés/Esaú/Ester/José/Manuscritos_do_mar_morto/Manuscritos_do_Mar_Morto/Benjamim/Aarão/Dalila/Isaias/Isaías/Lot/Eva
Ficção_Científica	teleportar/teletransportar/teletransporte
Bíblia	promessa
Meteorologia	meteorologia/previsão_do_tempo/bar/nublado/Anti-ciclone/nítido/vento/tempo/ciclone/convecção
Soluto	salinidade/fluoresceína
neurologia	Neurologia
ciência_aplicada	controlo_de_cheias/código-fonte
oceano	litoral/ribanceira/orla/água
política	turbulência/sicário/catecismo/conjuração/mandato/civilização/manifestação/assassina/conspiração
pôquer	bolada/bolão
impressão	publicação/edição
Fonética	assimilar/lasso/mudar/fonema
astronomia	retrógrado/planeta/astrónomo/Astrónomos/astrônomo/nebulosa/galáxia/Via_Láctea/Libração/equinócio/meteoro/meteoróide/Meteoróide/Conjunção/conjunção/anomalia/nuvem_de_Oort/Nuvem_de_oort/canal/estrela/declinação/subir
economia	teoria_dos_jogos/fácil/inflacionário/Lei_de_gresham/nominal/oligopólio/Lei_de_Gresham/teoria_económica/produção/Monopólio/monopólio
religião	canonizar/metodista/mórmon/reencarnar/exorcizar/crismar/anglicano/cristão/redimir/revivalista/conformista/luterano/irmão/submundo/perseguição/vigília/noviciado/ortodoxia/consagração/castidade/recato/pudicícia/hábito/idolatrar/claustro/Tolerância/crer/acreditar/turíbulo/incensário/Satã/Lúcifer/diabo/Satanás
Comunhão_anglicana	pároco/bispo
Jazz	jazz
golfe	passarinho/medalhista/par/campo_de_golfe
Histologia	Coloração
psicologia	normal/ver/molecular/excepcional/comportamento/introvertido/Gestalt/inibição/projetar/externalizar/ajustado/revestimento/recompensa/extroversão/interiorizar/internalizar/isolar/fadiga/tensão/stress/hábito/costume/generalização
ciência	ciências_exactas/Matematica/matemática/estudioso/verificar/provar
preparação	fornear/apimentar/diminuir/estufar/empanar/calamar/bater/ferver/enriquecer/gratinar/refogar/Caril/temperar/salgar/improvisar/marinar/alcoolizar/envenenar/enfarinhar/abrasar/caril/acastanhar/cozer/clarear/assar/fortificar/dourar/torrar/cozinhar/tostar/enlatar/condimentar/grelhar/frigir/fritar
ciências_da_vida	subespécie/territorial/decomposição/subclasse/dorsal/propagar/caduco/comensal/nocturno/meme/variante/análogo/coarctação/duradouro/especialização/extracelular/facultativo/intracelular/Cibernética/alpestre/amolgado/Estirpe/noturno/sistemático/cibernética/nuclear/polimórfico/mem/família/crescimento/biólogo/biologista/inibir/gênero/Gênero/género/mutante/mutantes/regeneração/Evolução/evolução/rudimentar/filo/Filo/natural/varão/macho/ordem/homogeneidade/osmose/isomorfismo/cultura/célula/tribo/procriar/reproduzir/classe
caminhos-de-ferro	passageiro
automóvel	tracção/Tracção/alternador/túnel/passageiro/aluguel/Aluguel
cirurgia	ostomia/operação/enxerto
charia	fatwa
animal	verruga/olfato/rastreio/rastreamento/gregário/social/pastar/desossar/crescido/maior/adulto/microorganismo/microrganismo/domar/domesticar/corpo_humano/corpo/cadáver/rede
arquitectura	apegado/pináculo/fenestração/arquitetura/desvinculado/Mísula/arco/Arco/pilar
diacronia	derivação
película	filmar/sincronizar
jurisprudência	residual/proibição/processual/prescrição/advogar/consensual/indevido/Direito_público/probatório/hereditário/maior/direito_público/substancial/pleitear/patrimonial/substantivo/jurisconsulto/justiça/Justiça/injunção/fungível/voto/sufrágio/sentenciar/amaldiçoar/rapto/testamento/Direito_internacional/título/Liberdade_de_expressão/liberdade_de_expressão/interdição/legalização/Adoção/adoção/premeditação/testemunhar/inválido/nulo/judiciário/condenação/conúbio/casamento/matrimônio/amnistia/legislador/Legislador/Procurador_Geral_da_República/procurador-geral_da_República/conspiração/argüido/réu/ré/quitação/Federal_Bureau_of_Investigation/Federal_bureau_of_investigation/FBI/contrariedade/moléstia/incômodo/pertubação/dolo/querelante/libelo/apelar/perdão/litigante/recusar/Curador/protocolar/registrar/condicional/projecto_de_lei/apelo/apelação/ditame/sentença/verificar/habeas_corpus/casa/patrimônio/passaporte/estatuto/Intimação/contratador/desapropriação/advocacia/direito/rescisão/vigência/vigor/revogação/Liberdade_de_reunião/Delinquência_juvenil/filiar/legado/barrister/Direito_Marítimo/Direito_do_mar/tribunal/corte/procuração/alienável/arbitragem/legislação/derivativo/testemunha/depoimento/liberdade_de_imprensa/provar/atestar/lei_marcial/Lei_Marcial/intimação/citação/licença/juízo/Direito_comercial/atenuar/remediar/mitigar/paliar/procurador/direito_administrativo/liberdade_religiosa/usufruto/Liberdades_civis/apresentar/entregar/alegação/veredito/advogada/advogado/jurista/condenar/sistema_eleitoral/pleito/legitimação/preempção/direitos_do_cidadão/preferir/juiz_de_paz/Juiz_de_Paz/declaração/bancarrota/Direito_civil/direito_civil/registro/estado_civil/coima/causa/processo/divórcio/encarceramento/promotor_de_justiça/escusar/perdoar/tabelião/notário/jurisdição/mandato/mandado/decreto/Constituição/constituição/common_law/Common_Law/julgamento/contestar/cliente/anistiar/lei/prender/encarcerar/aprisionar/direito_penal/direito_criminal/privilégio
aeronave	pilotar/piloto
Termodinâmica	entropia/cíclico
genética	dominante/parental/gene/guen/meiose/alelo/zigoto/tradução/Tradução/bivalente/miscigenação/hibridização/transcrição
taxa	progressivo/recolhedor/impostos/imposto/coletor/cobrador
estrela	brilhar
embriologia	segmentação
literatura	desconstrução/gótico/corcel/Desconstrução/redação/redacção
Antigo_testamento	Sem/Saul/Adão/maná/Maná/Jacó/Sodoma/Daniel/Maicol/Michael/Raquel/Bezerro_de_Ouro/bezerro_de_ouro/Jeremias/Rebeca/Isaque/Isaac/Sara/Moisés/Esaú/Ester/José/Manuscritos_do_mar_morto/Manuscritos_do_Mar_Morto/Benjamim/Aarão/Dalila/Isaias/Isaías/Lot/Eva
Poemas	lírico/dor/docemente/calma/versar/escuro/Erin/metrificar/versejar/rimar
produção_animal	arrear/jungir/cangar/atrelar
vertebrado	costela/ovário/sangue/Sangue
formação	Ministerio_da_Educação/pedagogia/Educação/educação/ensino
broadcast	rede
damas	Rei
meteorologia	previsão_do_tempo/bar/nublado/Anti-ciclone/nítido/vento/tempo/ciclone/convecção
aeronaves	Circumnavegação/circum-navegação/titânio/cadeira/lugar/assento/passageiro/pilotar/piloto
Fonologia	síncope
direito_civil	jurisprudência/Jurisprudência/common_law
Acústica	refletir
narcótico	dependência/de_viva_voz/Toxicomania/oralmente/potencializar
microbiologia	meticuloso/Prion
Mineração	berbequim/explorar/escavar/minar/minerar/retalhar
filosofia	teleologia/relativismo/vitalismo/nominalismo/semiótica/realismo/subjetivo/naturalismo/Idealismo/platonismo/Solipsismo/sensualismo/estética/estoicismo/racionalismo/formalismo/aristotelismo/sensacionalismo/Aristotelismo/idealismo/Semiótica/solipsismo/imanente/empirismo/determinismo/filósofo/Desconstrução/desconstrução/Existencialismo/existencialismo/materialismo
ciências_do_ambiente	endêmico/comunidade
basquetebol	contra-ataque/assistência
telefonia	discar/ligar
mecânica	reação
Zoologia	colonial/canino/cloaca/metabólico/ovíparo/invertebrado/vertebrado/naturalista
gravidez	endométrio/amniocentese
batel	passageiro/Amarra
computador	comunicação_de_dados/módulo/compatível/incompatível/formato/formatação/plotter/informática
Novo_Testamento	Filémon/dia_do_juízo_final/Mateus/Tiago/José_de_Arimateia/Santo_André/São_Judas_Tadeu/John/Transfiguração/Judas/São_judas_tadeu/Judas_iscariotes/Santiago_de_Compostela/José/Judas_Iscariotes/Ascensão/Paulo_de_Tarso/São_Paulo/Paulo/milênio/João_Batista/João_Baptista/apóstolo
imunologia	polivalente/afinidade/antigénio
tectónica	Pangeia
Direito_civil	jurisprudência/Jurisprudência/common_law
edificação	construir/erigir
Ovídio	Morfeu
Mecânica	reação
canção	coro/música/tutor/preceptor
boxe	soco/ponche
antiguidade	solicitador/romano/Lug/cruzamento/ditirambo/Baco/catacumba/centurião/Ré/gladiador
caça	armadilhar
Genética	dominante/parental/gene/guen/meiose/alelo/zigoto/tradução/Tradução/bivalente/miscigenação/hibridização/transcrição
softbol	apanhador/receptor/coletor
Vinificação	vinificar
telecomunicação	conversor
Virologia	vírus
Astrologia	Gêmeos/zodíaco/signo
Botânica	basal/embrião/cambial/axial/perene/aéreo/estilo/flora/corola/raizes/raíz/raiz/ciclíco/cíclico/naturalista/composto
rio	canal/curva/litoral/ribanceira/orla/oceano/água/confluencia
embaraço	endométrio/amniocentese
medicamento	de_viva_voz/oralmente/potencializar
soluto	salinidade/fluoresceína
Basquetebol	contra-ataque/assistência
arte	repintar/ilustrar/esculpir/entalhar/cine/belas-artes/estudioso/sombrear/adornar/popular/avaliador/posar/delinear/linguagem/estética/figurar/pincelar/retratar/modelar/discurso/Chinês/rascunhar/língua/cinema/indústria_cinematográfica/plasmar/pintar/Estética/Exposições/representar/belas_artes/estilo/desenhar
terrorismo	Dhahran/Hizbollah/terrorista/Mujahidin/Exército_vermelho_japonês/Exército_Vermelho_Japonês/Euskadi_ta_askatasuna/Euskadi_Ta_Askatasuna/ETA/Abu_Sayyaf/Movimento_Revolucionário_Tupac_Amaru/GRAPO/Grapo/Associação_de_Defesa_do_Ulster/Associação_de_defesa_do_ulster/Frente_revolucionária_unida/Frente_Revolucionária_Unida/Hamas/Máfia/Frente_de_Libertação_Nacional_da_Córsega/Khmer_Vermelho/Khmer_vermelho/Partido_dos_trabalhadores_do_curdistão/Partido_dos_Trabalhadores_do_Curdistão/Ku_klux_klan/Ku_Klux_Klan/Brigadas_vermelhas/Brigadas_Vermelhas/World_trade_center/World_Trade_Center/Forças_Armadas_Revolucionárias_da_Colômbia/Forças_armadas_revolucionárias_da_colômbia/reino_do_terror/antiterrorismo/contra-terrorismo/Jihad_Islâmica
filme	filmar/sincronizar
trem	passageiro
apólogo	Midas/Santo_Graal/Santo_graal/Isolda
química	misturar/livrar/quebrar/azeda/eterizar/saturar/reagir/polimórfico/dissociar/limpar/Ph/emulsão/sequestrar/aromático/sintético/acidificar/saturado/orgânico/desintoxicar/inibir/desmineralizar/incluir/rarefazer/osmose/suspender/adsorver/saturação/rico/dividir/carboxílico/dissociação/debilitar/opulento/soltar/apurar/pH/electrólise/química_orgânica/fulereno/cíclico/solução/mistura/converter/átomo/alcalino/polimorfismo/conjugado/absorção/extrair/oxidar/destilar/distilar/purificar/desoxidar/cadeia/isolar/molécula/catalisador/ligar/boticário
física	transiente/transformar/atrativo/aerodinâmico/supersimetria/tensão/polarizar/idêntico/desmagnetizar/entusiasmado/fluxo/colisão/átomo/gravitação/desaceleração/metaestável/desintegrar/lápis/hidrodinâmico/dinâmico/inércia/quark/gravidade/nuclear/magnético/métrica/atractor/reactor/eletrificar/eletrizar/luz/absorção/Absorção/energia/decair/dividir/quantum/dualidade/difusão/oscilação/potência/Potência/Pertubação/íman/magnete/liquidificar/liquefazer/paridade/molécula/cristalizar/gelar/congelar/solidificar
basquete	contra-ataque/assistência
remédio	de_viva_voz/oralmente/potencializar/apalpar/administrar/dispensar/remediar/vacinar/amputar/medicar/explorar/injetar/injectar/enfaixar/operar/sanar/sarar/curar/dopar/narcotizar/drogar/digitalizar
holismo	Gestalt
Igreja_Católica	Tomás_de_Aquino/pálio/irmã/monsenhor/breviário/Vulgata/Francisco_de_Assis/deão/paz/Irmão/Domingos_de_gusmão/Inácio_de_loyola/confissão/Imaculada_conceição/Thomas_Becket/cardeal/beatificação/indulgência/Monsenhor/Imaculada_Conceição/Domingos_de_Gusmão/Ostensório/Inácio_de_Loyola/Deão/ostensório/Francisco_de_assis/Thomas_becket/jubileu/missa/doutor/Doutor_da_Igreja/Doutor_da_igreja/bispo/novena/Colégio_Cardinalício/Colégio_dos_Cardeais/Colégio_dos_cardeais/Via_Crucis
comércio	parte/traficar/privatizar/participante/empresas/indústria_cinematográfica/cinema/Chinês/cine/capitalista/cadeia/sagacidade/astúcia/administração/gestão/tramitar/transacionar/intermediar/contrabandear/revender/empenhar/vender/licitar/leiloar/comprar/atingir/adquirir/importar/abastecer/estocar/armazenar/saldar/franquiar/privilegiar/comercializar
Tênis	game/serviço/Serviço
mineração	berbequim/explorar/escavar/minar/minerar/retalhar
Hóquei	assistência
ruminante	ruminar/pré-digerir
música	orquestrar/dramático/legato/sincopar/serial/segundo/natural/lírico/maior/cromático/atonal/polifônico/mensurável/compatibilizar/piar/trinar/pedalar/trompetear/repetir/reger/acompanhar/cantar/salmo/suíte/tacto/bater/harmonizar/popular/afinação/arioso/canoro/staccato/adágio/piano/rápido/requebrar/balançar/estilo/língua/discurso/linguagem/tocar/placa_de_som/Tónica/Dó_maior/dó_maior/sanfona/realejo/parte/tema/ligadura/tonal/recapitulação/dominante/Musico/Músico/músico/compor/escrever/vibrato/charanga/pauta/solfejar/uníssono/sintetizador
construção	construir/erigir
Cristalografia	isométrico/laminado
Ciências_aplicadas	controlo_de_cheias/código-fonte
avião	Circumnavegação/circum-navegação/titânio/cadeira/lugar/assento/passageiro/pilotar/piloto
ciências_exactas	disjunto/provar/Geometria_Euclidiana/convergir/geodésica/geometria_analítica/álgebra_linear/racional/fractal/contínuo/analítico/subgrupo/raio/irracional/geodésico/invariante/matriz/interpolar/extrapolar/cálculo_integral/inverso/Expressão/fórmula/métrica/infinitesimal/extrapolação/arredondamento/equação/Calculo/Cálculo/cálculo/redondo/Polinômio/polinómio/polinômio/corpo/operação/cáculo/calcular/topologia/Topologia/divisível/combinatório/diferenciar/análise/análise_matemática/interpolação/integrar/simetria/função/assimetria/Álgebra/álgebra/Aritmética/aritmética/plano/Plano/Trigonometria/trigonometria/binómio/binômio/Invariante/invariância/comutativo/série
Embriologia	segmentação
indústria	privatizar/empresa_industrial
tv	legendado/televisionar/televisor/tevê
Génesis	Torre_de_Babel/Babel/Torre_de_babel
radiodifusão	transmitir
Dramaturgia	coadjuvar/estrelar/entrar/protagonizar/casa/teatro/cadeira/lugar/assento/atuar/representar
entorpecente	de_viva_voz/oralmente/potencializar
equitação	galopar
carro	tracção/Tracção/alternador/túnel/passageiro/aluguel/Aluguel
jogo_de_cartas	conter-se/refrear-se/refrear/conter/cartear
jogo	jogado/turno/rodada/jogada/vez
xadrez	rocar/abrir/cavalo/torre/bispo/Dama/en_passant/rei/abertura
forças_armadas	tenente-coronel/aquartelar/Lei_Marcial/emissão/Sapador/separar/desanexar/lei_marcial/tiragem/barraca/latrina/ambulância/militar/missão/cadete/armamento/ordem/tropas/milícia/campo/teatro/expedição/regular/posição/comodoro/serviço_militar/campanha/Continência/comissão_militar/autometralhadora/graduação/classe/capitão-tenente/inerme/desarmado/infantaria/Infantaria/caça/Força_Aérea/bloqueio/desertor/cavalaria/Cavalaria/arsenal/companhia/general/Blitzkrieg/blitzkrieg/quartel_general/major/corpo/apelo/marechal_de_campo/Fuzileiros_Navais/Fuzileiros_navais/desordenar/contenda/luta/comandante/quinquilharia/retirada/espião/ranger/alferes/preparação/prontidão/falange/Polícia_Militar/PM/pelotão/batalha/combate/recruta/coronel/guarnição/guarda_costeira/cerco/sítio/estratégia/guerra/segundo-tenente/alistamento/conscrição/reservista/armada/forças_navais/marinha/azul-marinho/manobra/operação/proteção/defesa/bombardeiro/oficial_do_exército/marcha/retaguarda/capitão
administração	reforma_agrária/unitário/federal/Reforma_Agrária/federativo/paternalismo/ciência_política/política/recompensa/poder/ofício/cargo/governo/regime/manifesto/pronunciamento/progressista/anarquia
hebreu	rabi
direito_criminal	caução/acusação/ofensa/crime/condenação
serviço	Cripta/oficial/separatista/igreja/pregação/prédica/sermão/agulha/coruchéu/flecha/topo/Comunhão_anglicana/Comunhão_Anglicana/puritanismo
Novo_testamento	Filémon/dia_do_juízo_final/Mateus/Tiago/José_de_Arimateia/Santo_André/São_Judas_Tadeu/John/Transfiguração/Judas/São_judas_tadeu/Judas_iscariotes/Santiago_de_Compostela/José/Judas_Iscariotes/Ascensão/Paulo_de_Tarso/São_Paulo/Paulo/milênio/João_Batista/João_Baptista/apóstolo
arrematação	oferecer
condução	parar/estacionar/dirigir/atravessar/travar/frear
cozinha	fornear/apimentar/diminuir/estufar/empanar/calamar/bater/ferver/enriquecer/gratinar/refogar/Caril/temperar/salgar/improvisar/marinar/alcoolizar/envenenar/enfarinhar/abrasar/caril/acastanhar/cozer/clarear/assar/fortificar/dourar/torrar/cozinhar/tostar/enlatar/condimentar/grelhar/frigir/fritar
direito_penal	caução/acusação/ofensa/crime/condenação
belas_artes	esquemático/clássico/geométrico/convencional/textura
bote	passageiro/Amarra
navegação	transportar/velejar/leme
geologia	estrutural/Soleira/ígneo/formação/falha/Peneplanície/nítrico/estratificar/jazigo/Escala_de_richter/escala_de_Richter/Vale_do_Rift/Vale_do_rift/diapiro
artesanato	entrançar/tricotar/esmaltar/encrustar/trançar/tecer/urdir
Budismo_Zen	satori
Fisiologia	vegetativo/automático/autonómico/independente/autônomo/somatório/nutrição/irritar/Acomodação/erétil/personalização/adução/excitável/involuntário/isotônico
Metonímia	voz
tênis	game/serviço/Serviço
imposto	progressivo/taxa/recolhedor/impostos/coletor/cobrador
Idade-Média	trivium/Isolda/cota_de_malha/Iluminura/escravo/Cota_de_malha/Titania/Titânia
basebol	roubar/assistência/coletor/receptor/apanhador/bater/batedor/arremesso/batida/jogada/turno/erro/apanhar/capturar
farmacologia	percutâneo/Tintura/tintura
astro	brilhar
dramaturgia	coadjuvar/estrelar/entrar/protagonizar/casa/teatro/cadeira/lugar/assento/atuar/representar
retórica	tropical
Estatística	bimodal/aleatório/estocástico/atuário/variância/universo/correlação/quartil/Média/estatística/Regressão/regressão/mediana/média
solução	salinidade/fluoresceína
metonímia	voz
ônibus	passageiro
pilotagem	transportar/velejar
alvenaria	engessar
teatro	coadjuvar/estrelar/entrar/protagonizar/casa/cadeira/lugar/assento/atuar/representar
comboio	passageiro
Mineralogia	geode/gémeos
Navegação	leme
microorganismo	Virulência/virulência
fé	metodista/mórmon/reencarnar/anglicano/cristão/revivalista/conformista/luterano/irmão/submundo/perseguição/vigília/noviciado/ortodoxia/consagração/castidade/recato/pudicícia/hábito/idolatrar/claustro/Tolerância/crer/acreditar/turíbulo/incensário/Satã/Lúcifer/diabo/Satanás
Artes_Cénicas	estrear/personificar/retratar/legendar/ensaiar/exercitar/exercitar-se/encenar/desempenhar/apresentar/escolher/eleger/dirigir/atuar/representar/debutar/lançado/ser/passar
Arqueologia	civilização/cultura/Idade_da_Pedra/Idade_da_pedra/Idade_do_ferro/Idade_do_Ferro/Idade_do_Bronze/Idade_do_bronze/escavação
guerra	assaltante
produtos_farmacêuticos	de_viva_voz/oralmente/potencializar
impostos	progressivo/taxa/recolhedor/imposto/coletor/cobrador
Softbol	apanhador/receptor/coletor
cristalografia	isométrico/laminado
iídiche	estúpido/idiota
virologia	vírus
Incisão	apalpar/administrar/dispensar/remediar/vacinar/amputar/medicar/explorar/injetar/injectar/enfaixar/operar/sanar/sarar/curar/dopar/narcotizar/drogar/digitalizar
fonética	assimilar/lasso/mudar/fonema
botânica	basal/embrião/cambial/axial/perene/aéreo/estilo/flora/corola/raizes/raíz/raiz/ciclíco/cíclico/naturalista/composto
linguagem	sincrônico/diacrônico/estilo/língua/discurso/idioma/acento/sotaque
ofensa	pagar/extorquir/traficar/chantagear/sequestrar/raptar/roubar/saltear/contrabandear/subornar/corromper/plagiar/piratear/resgatar/remir
tributo	progressivo/taxa/recolhedor/impostos/imposto/coletor/cobrador
calculadora	comunicação_de_dados/módulo/compatível/incompatível/formato/formatação/plotter/informática
idioma	sincrônico/diacrônico/estilo/língua/discurso/linguagem/acento/sotaque
mar	litoral/ribanceira/orla/oceano/água
legislação	reconsiderar/justiça/Justiça
póquer	bolada/bolão
ficção_científica	teleportar/teletransportar/teletransporte
autocarro	passageiro
embarcação	enfermagem/enfermaria
esgrima	florete/impulso
arquitetura	apegado/pináculo/fenestração/arquitectura/desvinculado/Mísula/arco/Arco/pilar
aeroplano	Circumnavegação/circum-navegação/titânio/cadeira/lugar/assento/passageiro/pilotar/piloto
estória	Barba_Azul
Astronomia	retrógrado/planeta/astrónomo/Astrónomos/astrônomo/nebulosa/galáxia/Via_Láctea/Libração/equinócio/meteoro/meteoróide/Meteoróide/Conjunção/conjunção/anomalia/nuvem_de_Oort/Nuvem_de_oort/canal/estrela/declinação/subir
informática	cache/off-line/interoperabilidade/paridade/fragmentação/cursor/sgml/EPROM/partição/Cachê/desligado/Interoperabilidade/iteração/concatenar/computador/calculadora/simulação/código/online/on-line/Ascii/ASCII/unidade_central_de_processamento/CPU/UCP/limpar/rede/instrução/Instrução/trilha/paralelo/utilitário/correio_electrónico/email/mapear/porta/disco/base_de_dados/interpretador/intérprete/importar/impressora/programar/pixel/parâmetro/Parâmetro/baud/Baud/ícone/Icon/programa/software/registro/registrador/router/backup/compilador/programador/programadora/Travamento/buffer/execução/operação/armazenamento/protocolo/imitar/periférico
Matematica	disjunto/provar/Geometria_Euclidiana/convergir/geodésica/geometria_analítica/álgebra_linear/racional/fractal/contínuo/analítico/subgrupo/raio/irracional/geodésico/invariante/matriz/interpolar/extrapolar/cálculo_integral/inverso/Expressão/fórmula/métrica/infinitesimal/extrapolação/arredondamento/equação/Calculo/Cálculo/cálculo/redondo/Polinômio/polinómio/polinômio/corpo/operação/cáculo/calcular/topologia/Topologia/divisível/combinatório/diferenciar/análise/análise_matemática/interpolação/integrar/simetria/função/assimetria/Álgebra/álgebra/Aritmética/aritmética/plano/Plano/Trigonometria/trigonometria/binómio/binômio/Invariante/invariância/comutativo/série
Oftalmologia	miopia
estatística	bimodal/aleatório/estocástico/atuário/variância/universo/correlação/quartil/Média/Regressão/regressão/mediana/média
fisiologia	facilitar/vegetativo/automático/autonómico/independente/autônomo/somatório/nutrição/irritar/Acomodação/erétil/personalização/adução/excitável/involuntário/isotônico
físico-química	sistema/fase/interface
