meloeiro	(fruta)
Nitreto	(composto_químico Compostos_químicos substância_química
         Composto_químico)
ace	(serviço Serviço)
Tulio	(metal Metais metais)
mesquita	(igreja Lugares_de_prática_religiosa casadeoração templo)
importar	(transmitir estar transferir trazer ser)
cordialidade	(amizade)
democrata	(advogado político representante defensor proponente)
friuliano	(língua_romanche Língua_romanche)
acetanilida	(analgésico Analgésicos)
Condylura_cristata	(toupeira topeira)
aperfeiçoamento	(melhoramento melhoria)
estuários	(massa_de_água oceano água Corpos_de_água corpo_de_água)
proteínas	(Macromolécula macromolécula)
pizzicato	(música)
evidência_indireta	(prova)
Revolução_cultural_chinesa	(revolução)
Alma_mater	(escola instituto colégio)
fotosfera	(superfície)
pirose	(sintoma)
pau-pernambuco	(madeira)
sedimentos_finos	(Solo solo terra)
Eddas	(Baladas balada)
relocar	(mudar mudar-se)
dissociar	(separar_se separar separar-se partir diferenciar distinguir)
dualista	(estudante adepto discípulo seguidor aluno apóstolo)
pianola	(Piano piano)
interpretar_mal	(ler)
microgravidade	(peso)
anotação	(expansão apontamento descrição declaração Descrição comentário nota)
Placa_de_Peyer	(linfonodo Linfonódo)
prescrição	(lei instrução código_de_conduta leis actos_legislativos)
hiperligação	(link ligação)
megacólon	(cólon)
dizer	(supor sugerir apresenta indicar registrar inferir cadastrar ler propor
       mostrar contar falar vebalizar provar atestar significar querer_dizer
       dispõe expressar proferir transmitir comunicar)
hidrocele	(doença bagunça transtorno distúrbio)
hipotenusa	(flanco)
reembolso	(compensação_por_danos compensação Compensação remuneração pagamento
           recompensa)
Creme_de_barbear	(espuma espuma_de_sabão)
preferido	(escolha selecção)
aprendizado	(posto instrução educação cargo posição)
Anura	(Anfibios anfíbios anfíbio)
Cripto-análise	(ciência)
trombeta	(metais Metais tocador instrumentista instrumentalista músico)
Fogão_a_lenha	(casa lar aposento moradia habitação residência morada domicílio)
retorquir	(retrucar responder replicar)
velho	(coorte avô terceira_idade adulto de_maior idoso varão macho homem)
Artéria_iliolombar	(artéria Artérias Arteria Artéria)
espaço_de_Hilbert	(espaço_métrico)
Sótão	(Língua_grega_antiga grego_antigo)
mês_no_calendário_gregoriano	(mês)
roer	(mastigar mascar morder)
Leishmânia	(flagelado)
oleoduto	(Óleoduto ducto tubulação condutas canal duto)
exercício_fisico	(empenho esforço)
círculo	(elipse grupos_sociais oval)
revolução	(mudança alteração variação modificação ação_em_grupo)
hipertensão	(doença_cardiovascular)
Doença_de_Crohn	(colite Doença_inflamatória_intestinal)
misoneísmo	(aversão ódio)
leitelho	(leite)
Epimeteu	(Titã)
consternar	(intimidar aterrorizar amedrontar atemorizar assustar dissuadir
            desanimar)
não-ficção	(prosa)
condenação	(período)
congestionamento	(multidão)
teísmo	(religião Crença_religiosa fé)
Bos_javanicus	(boi)
signo_ascendente	(superioridade domínio)
Arquitetura_Bizantina	(Estilos_arquitectónicos Estilo_arquitetônico
                       Estilo_arquitetónico Estilos_arquitetónicos)
Especiação	(Evolução filogênese evolução evolução_das_espécies filogenia)
unidade_de_memória_do_computador	(Medição unidade_de_medida unidade Medida)
trêmulo	(movimento)
transe	(sofrimento dor)
gambozino	(trote)
água_gaseificada	(água_potável Água_potável)
prof	(pedagogo educador educacionista)
libelinha	(odonatos)
coerência	(compreensibilidade ligação conexão)
bolsa_de_estudos	(ajuda_financeira ajuda apoio_financeiro prêmio prémio
                  galardão)
bode	(bovídeos Bode cabra cabrito)
Ácido_etanóico	(ácido_carboxílico Ácidos_carboxílicos)
traçado	(opinião ideia conceito pensamento idéia)
prefeitura	(hall centro_de_convenções)
heterozigoto	(zigoto)
freguesia	(gente povo pessoas população)
julgamento	(Tomada_de_decisões devido_processo_legal sentença acção ação ato
            feito processo_de_decisão tomada_de_decisão procedimento_legal)
enlistar	(adquirir atingir obter)
separação	(classificação condição estado situação ação_em_grupo)
Rafael	(arcanjo)
eleja	(escol elite)
Ácido_benzoico	(Ácidos_carboxílicos ácido_carboxílico)
pseudo-hermafroditismo	(Doença_congênita Doença_congénita Doenças_congénitas)
enegrecer	(colorir descolorir)
petróleo-bruto	(combustível_fóssil petróleo óleo)
ciática	(nevralgia)
Dedo_da_mão	(dedo dígito dedo_da_mão)
estrogénio	(esteróide Hormônios_esteroides Hormona_esteroide esteróides
            Hormona_esteróide)
Zoonoses	(doenças_de_animais)
Monómero	(composto_químico Compostos_químicos substância_química
          Composto_químico)
hebraico	(alma indivíduo ser_humano alguém pessoa)
ir_além	(exceder)
águia	(símbolo peça moeda divisa prata ave_de_rapina aves_de_rapina emblema)
fluxo_principal	(pensamento ideia)
pilaf	(prato)
Fanatismo	(intolerância)
deportação	(expulsão exclusão proscrição banimento)
contrair	(adoentar adoecer desabar minguar decrescer estreitar apertar reduzir
          diminuir ficar_menor passar_por ter experimentar)
linha_lateral	(Receptor_sensorial)
espiã	(espião)
doença_pulmonar_obstrutiva_crônica	(enfisema ENFISEMA)
folhas	(folha_de_papel folha órgão papel Papel carta)
intelectual	(alma indivíduo ser_humano alguém pessoa intelecto)
horrorizar	(assustar repulsar atemorizar amedrontar aterrorizar intimidar
            revoltar indignar nausear repugnar)
loxodrómia	(fronteira)
carta_de_crédito	(documento crédito)
OVNI	(aparição fantasma)
Língua_herero	(Línguas_bantóides línguas_bantóides)
3	(dígito número algarismo)
articulação	(expressão ligação Anatomia parte_do_corpo)
transacção_comercial	(empresa companhia)
delimitação	(fronteira limite fronteiras)
interrupção	(ocorrência intervalo_de_tempo intervalo tempo evento acontecimento
             conclusão termino atraso retardar adiar)
transatlântico	(Navios_de_passageiros)
ateroma	(tecido_gorduroso tecido_adiposo)
minimização	(redução diminuição)
suco_de_maçã	(suco sumo_de_fruta)
ex-jogador	(jogador apostador)
Ophiuroidea	(espécies classe)
Ásia	(montão colecção ruma chusma coleção grupo acúmulo aglomeração)
tipificar	(representar simbolizar)
Foice-e-martelo	(símbolo emblema)
componente	(porção ideia idéia concepção conceito relação conexão categoria
            parte)
boato	(bisbilhotice bisbolhetice fofoca)
distilar	(mudar alterar)
Freon	(clorofluorcarbonetos clorofluorcarboneto Clorofluorcarboneto)
zum	(objectiva)
busca	(buscar procurar)
Doença_de_Wilson	(Deformações_genéticas)
agressão	(contenda ação luta batalha combate ato atividade)
Automobilismo	(Esportes_de_corrida carreira corrida)
limites_de_velocidade	(ordenamento)
lantejoula	(decoração ornamento)
Acidentes	(ocorrência evento acontecimento)
nazista	(facista fascista)
adoçantes	(condimento tempero aromatizantes)
extinção	(termino atividade morte aniquilação desintegração conclusão
          aniquilamento)
ramificar	(crescer mudar aumentar alterar)
gesto	(Gesto presságio Comunicação_Visual comunicação_visual Gestos indício
       agouro indicação sinal mudança)
afro-americana	(estado-unidense norte-americano)
Inquisidor-geral	(Inquisidores)
sinistro	(demanda procura)
preferência	(handicap afeição direito_(ordenamento_jurídico) predisposição
             direito intercorrência opção escolha eleição alternativa benefício
             lucro utilidade vantagem tendência)
reta	(parte forma_geométrica formato forma)
cartadecrédito	(documento crédito)
gás_carbônico	(dióxido bióxido Gases_do_efeito_estufa gás_de_estufa
               gases_do_efeito_estufa)
Lixívia	(agente)
drive-in	(instalação infra-estrutura serviço)
Peixe_Esportivo	(peixe)
Escorregador	(Brinquedos brinquedo)
máquina_de_Turing	(computador calculadora)
Presidente	(presidência)
ameixeira	(pomares Árvore_frutífera)
imago	(insecto insetos hemípteros inseto Insectos)
vulgaridade	(comentário profanação Palavrão Palavra_de_baixo_calão
             Palavras_de_baixo_calão Palavra_de_baixo-calão observação)
bisbolhetice	(relato relatório)
géiser	(Nascente)
reconfirmar	(confirmar)
exatidão	(correção rigor acurácia atributos qualidade precisão exactidão)
gigante	(animal empresa personagem criatura bicho ser besta companhia)
naturalista	(filósofo biólogo biologista)
etiquetar	(anexar unir juntar)
Criatividade	(capacidade talento faculdade habilidade)
piratear	(roubar furtar)
entalhe	(Produção_gráfica impressão)
ilusionista	(intérprete)
Wishful_thinking	(ilusão fantasia)
riacho	(córrego)
era_espacial	(tempo época período momento era)
mobiliário	(equipamento jogo grupo móvel mobília)
contorno	(fronteiras limite fronteira)
gonorreia	(Doença_sexualmente_transmissível)
esbanjar	(desperdiçar dilapidar delapidar gastar despender)
herpetologia	(Zoologia zoologia)
lingote	(bloco tijolos)
regurgitar	(dar_comida correr expelir fluir alimentar)
estar_em_dúvida	(descrer desacreditar)
chibata	(instrumento aparelho ferramenta instrumento_musical)
decapagem	(gravura)
melhorar	(aperfeiçoar alterar mudar modificar tornar revoltar-se revoltar)
federação	(constituição união organização estabelecimento)
passar_ao_lado	(promover encorajar estimular)
Eutrófico	(processos_biológicos)
topo	(Torres extremos face lado área região extremo torre roque)
submundo	(estrato classe_social classe)
ressurgir	(tomar_a_iniciativa começar provir originar)
coeficiente_de_correlação_de_Pearson	(correlação)
Falcão_americano	(falcão)
ir_levando	(atuar agir fazer)
Insider_trading	(compra_e_venda comércio)
cingir	(rodear prender fixar contornar)
Polder	(solo terra solos)
bancos_de_gelo_flutuante	(bolsa saco carteira sacola)
betume	(minérios Hidrocarbonetos hidrocarboneto hidrocarbonetos matéria_mineral
        minerais mineral)
ponto_final	(traseiro conclusão área região término fim cabo)
Escorpiões	(aracnídeo Aracnideos aracnídeos)
Reflexos	(reação resposta)
canonizar	(declarar julgar)
Jogo_perfeito	(beisebol basebol)
exonerar	(desculpar perdoar)
alteridade	(discordância diferença)
oligopólio	(mercado)
neurotoxina	(toxinas Toxinas toxina)
ferimentos	(acidente inchaço traumatismo lesão mal dano)
copidesque	(redacção Edição_jornalística redação)
fórmula_empírica	(Fórmulas_químicas Fórmula_Química Formula_química
                  fórmula_química)
neutralização	(reação_química anulação destruição Reações_químicas
               reacções_químicas Reação_Química devastação)
desarmamento	(desmobilização)
consumismo	(causa campanha)
virar_a_casaca	(repensar)
dominação	(controle_social)
jogaráguabenta	(irrigação)
trompete	(metais Metais)
árvore_de_Natal	(ornamento adorno decoração ornato)
civilidade	(ação cortesia ato atividade)
circular	(deslocar formar correr mover manar fluir andar ir caminhar viajar)
ressecação	(extracção)
astato	(Halogénio halogênio elemento_químico)
indignar	(repelir)
distância	(região dimensão medida magnitude tamanho Distância espaçamento)
Bedlington_terrier	(Terrier Terriers)
suscetibilidade	(estado Estado situação condição)
Liga_metálica	(Misturas_químicas solução mistura)
abrir_fogo	(atirar disparar)
Aspic	(gelatina)
latência	(tempo potenciabilidade potencial intervalo intervalo_de_tempo)
onça-preta	(activista militante)
defesa_nacional	(justificativa justificação)
calcanhar	(esqueleto)
ovo	(produtos_alimentares óvulo alimento)
esposar	(unificar reunir)
sacudir	(atirar agitar mover_reflexivamente menear mexer deslocar jogar lançar
         mover_involuntariamente mover oscilar empurrar forçar tremer)
tez	(produtos_alimentares alimento cor)
mostruário	(contêiner continente contentor caixa contentores jarro vaso vasilha)
gesticulação	(Gesto Gestos gesto)
bê	(himenópteros)
leigo	(plebeu)
benedictine	(Licores licor)
kwashiorkor	(subnutrição desnutrição)
pário	(alma indivíduo ser_humano alguém pessoa)
animador	(técnico)
Defensoria_Pública	(advogada advogado jurista)
vela	(pano lâmpadas luz candeia lâmpada cadeeiro)
aquiescer	(consentir concordar)
Amino-ácido	(composto_orgânico substâncias_orgânicas Compostos_orgânicos
             Composto_orgânico matéria_orgânica)
Cimetidina	(Antiácido)
Litchi	(fruta)
ornitologia	(Zoologia zoologia)
desfavorecer	(discriminar)
quaker	(seita Ordem_religiosa)
ouvir	(perceber aperceber entender aperceber-se)
seguro-saúde	(cuidado assintência)
Jazz	(música_popular Música_Popular)
Samaritanos	(Tribos_de_israel Tribos_de_Israel israelita)
Paronychia	(infecção infeção)
alicate_de_pressão	(alicates alicate)
torpedeiro	(navio_de_guerra Navio_de_guerra Navios_de_guerra)
dignidade_e_função_de_apóstolo	(posto cargo posição)
germicida	(agente)
planetário	(modelo prédio edifício esquema)
radiografia	(ilustração chapa_de_radiografia fotografia_(imagem) figura imagem
             retrato desenho fotografia foto)
cãimbra	(plano_inclinado)
teste_de_gravidez	(Bioensaio)
desregular	(dispensar liberar)
Terpenos	(Hidrocarbonetos hidrocarboneto hidrocarbonetos)
preamar	(maré marés)
clofibrato	(droga_medicional droga_medicinal remédio medicamento
            produtos_farmacêuticos)
clarinete_baixo	(clarineta clarinete)
Radiotelefonia	(rádio)
sorvedouro	(correnteza vão fenda fluxo corrente)
nártex	(sala saguão antecâmara antessala átrio vestíbulo)
proclamação	(descrição declaração Descrição)
turnover	(proporção razão Taxa)
fatia	(parte tomo pedaço porção secção)
favorita	(desafiante escolha concorrente adversário inimigo contendor rival
          competidor opositor selecção)
Soleira	(rocha pedra)
mosto	(suco_de_uva)
gazela	(antílope)
processador	(hardware equipamento_eletrônico)
Paixão	(passamento objecto sofrimento agonia objeto objetivo)
George_F._Kennan	(diplomata embaixador)
apneia_do_sono	(Distúrbios_do_sono distúrbios_do_sono apnéia)
deleção	(eliminação remoção)
agente_provocador	(espião)
enchaqueca	(dor)
abater	(desabar dividir cortar minguar diminuir decrescer)
haploidia	(estado)
beluga	(delfim Delphinidae boto golfinho)
mortificar	(limitar refrear controlar magoar ofender provocar)
numerador	(dividendo)
Pinus_thunbergii	(pinheiro)
silabificar	(pronunciar falar dizer)
cagar	(expelir)
equalização	(acção ação ato feito)
galego	(línguas_românicas língua_românica românica)
átrio	(pátio quarto terreiro câmara aposento sala)
eterizar	(tornar revoltar-se revoltar)
oásis	(refúgio terreno asilo região extensão)
seismologia	(Geofisica Geofísica geofísica)
grafo	(comunicação_visual Comunicação_Visual)
antipróton	(nucleão Núcleon Nucleons nucleon)
mercadorias	(produto objecto_posto_à_venda Bens mercadoria artigo fazenda bem)
especializado	(habilidade)
modernização	(melhoramento melhoria)
Götterdämmerung	(lenda mito)
iatista	(tripulante marujo marinheiro)
caixa	(recipiente banqueiro Membranofone Membranofones membranofone tímpano
       tambor equipamento contêiner continente contentor contentores jarro vaso
       vasilha)
empregado_de_balcão	(vendedor)
subúrbios	(áreas_residenciais)
postdoc	(acadêmico estudioso erudito especialista pesquisador investigador)
Endotoxina	(toxinas Toxinas toxina)
leva	(multidão montão turba)
devanagari	(escrita silabário Silabários)
ócio	(inércia preguiça férias)
Esferóide	(forma_redonda)
bugalho	(galha)
abotoadura	(joalharia Joalheria jóia)
abençoar	(conferir conceder outorgar)
grandeza	(proporção extensão magnitude atributo razão Taxa importância)
Lazer	(repouso relaxação)
Bracelete	(joalharia Joalheria jóia)
Urim_e_tumim	(resposta)
cavalos	(equídeo equino ungulados)
assentimento	(pacto acordo aliança aprovação consenso conformidade)
período_de_teste	(período etapa tempo)
permanecer	(albergar ficar restar atuar agir fazer estar ser)
Defense_Advanced_Research_Projects_Agency	(instituição_pública Governo
                                           agência_governamental agência
                                           escritório)
chamar_de_volta	(centrar concentrar focar)
feno-grego	(condimento tempero aromatizantes)
nécton	(criatura organismo ser)
manjar_turco	(candil caramelo bala)
Escova_dental_elétrica	(escova_de_dentes)
dilatação	(expansão ampliação aumento)
Proto-nórdico	(Línguas_germânicas línguas_germânicas)
Biogénese	(geração)
ONG	(organização)
Camomila-romana	(erva maconha)
permitir	(servir conceder pegar prover aceitar acordar concordar aprovar deixar
          consentir outorgar entregar dar)
persuasão	(uma_comunicação comunicação comunicado)
Knesset	(parlamento)
irmandade	(estrato classe_social classe)
sulfeto_de_zinco	(sulfeto sulfureto Sulfetos)
correspondência	(compatibilidade semelhança similardidade)
adquirir	(localizar fazer_papel mudar alterar situar achar receber obter
          comprar atingir atuar agir comportar-se parecer)
bebida	(massa_de_água oceano água Corpos_de_água corpo_de_água porção líqüido
        nutriente comida alimento ingestão)
papiloma	(tumor_benigno)
Dólar_de_Fiji	(Dólar dólar)
fração_contínua	(fração fracção)
por	(utilizar usar empregar)
Corned_beef	(carne_bovina bife carne carne_de_vaca)
comemorar	(celebrar solenizar festejar recordar)
financiar	(creditar manter pagar entregar dar)
Teorias_dedutivas	(raciocínio Raciocinio razoamento argumentação)
Erodium_moschatum	(gerânio)
cauterização	(cirurgia operação_cirúrgica operação)
saladevisitas	(galeria galeria_de_arte)
Criptógama	(flora planta vegetal)
Acorde_de_sétima	(acorde Acordes)
backup	(duplicação duplicata)
cálculo_integral	(cálculo Cálculo Calculo)
indústria_cinematográfica	(mídia meios_de_comunicação)
circunstância	(estado Ambiente Estado situação condição conhecimento informação
               ambiente)
convento	(claustro)
b	(caracter letra caractér carácter)
ceder	(esticar transferir aceitar acordar concordar consentir aprovar entregar
       oferecer dar_de_presente regalar dar)
bolsa_de_estudo	(ajuda_financeira ajuda apoio_financeiro prêmio prémio galardão)
esportiva	(Desportistas atleta)
detective	(polícia agente policial guarda)
empinar	(endireitar)
lavabo	(bacia pia tigela)
câmera_lenta	(película filme cinema produção)
despedaçar_se	(desmoronar desesperar)
secção	(corpo coisa)
Poodle	(cachorro cão)
Anemia_aplástica	(anemia Anemias)
amarrar_em_nós	(fabricar construir confeccionar)
teatro_de_fantoches	(dramatização)
tartaruga	(testudinata)
ilusão	(interpretação dissimulação apresentação enganação mal-entendido erro)
coletor_de_lixo	(transportador recolha)
flogopita	(mica)
preterir	(desatender ignorar negligenciar eliminar extinguir)
enlaçar	(torcer)
sacudida	(choque)
Mestrado	(Grau_acadêmico Grau_académico Graus_académicos)
construtor	(creador contratador criador)
rota_de_comércio	(itinerários percurso estrada itinerário caminho rota linha)
Oxamicina	(Antibiotico antibióticos antibiótico Antibióticos)
Parápode	(membro)
banda_sonora	(Gravação_e_reprodução_sonora)
tetraciclina	(Bactericida)
eslavos	(linhagem raças_humanas povo raça)
ganância	(pecado_capital gula desejo avareza cobiça)
sirena	(Alarmes chamado_às_armas alarme)
sinergia	(atividade)
invulnerabilidade	(segurança)
errar	(mal_julgar andar ir caminhar viajar)
recifes	(cume aresta)
pulôver	(camisola vestuário roupa suéter agasalho)
pegar	(mudar surpreender inteirar destroçar ouvir perceber ver
       começar_a_queimar adquirir tocar toque fazer_passar transmitir escutar
       contato ouvir_dizer sentir acender receber obter comprar atingir
       comprender compreender enrolar perplexar confundir informar-se descobrir
       achar tomar agarrar segurar capturar aperceber entender aperceber-se
       encontrar alterar arruinar destruir estraçalhar detonar assombrar
       sobressaltar)
aspergir	(molhar)
triunfar	(derrotar exultar ostentar fanfarrear vangloriar-se bater vencer
          superar ultrapassar ganhar)
estatísticas	(Matemática_Aplicada Matemática_aplicada)
matriz_transposta	(matriz_mitocondrial Matrizes matriz)
recordação	(objeto_físico objeto)
Afro-americanos	(estado-unidense norte-americano)
Onça_preta	(activista militante)
lista_negra	(lista_numerada lista listagem)
escalope	(rodela)
Nora	(Roda_de_água)
ducto_deferente	(canal)
verter	(derramar correr manar fluir deslocar mover entornar)
argumentar	(apresentar clamar declarar)
trituração	(esmagamento compactação)
Ciclope	(gigante)
Glasnost	(política_social)
disco_removível	(disco_rígido disco_duro)
exceder	(sobressair almejar aspirar utilizar usar empregar)
quantificação	(medida mensuração medição)
isótopos	(átomo)
Lei_de_dalton	(lei)
copyright	(documentação documentos documento)
vertebrado_aquático	(vertebrado)
propensão	(tendência)
sapato	(vestido calçado Calçados traje vestimenta vestuário roupa)
Galáxias_espirais	(nebulosa galáxia Via_Láctea)
distrofia	(Deformações_genéticas)
adoração	(ocupação atividade)
ciclo_de_carbono	(processos_biológicos)
tapera	(Biomas Bioma bioma terreno região extensão)
liquidificador	(batedeira)
qualificar-se	(bastar ser_suficiente)
Flauta	(Madeiras)
condescender	(interagir atuar agir fazer)
baleia-sei	(baleia-jubarte)
atol	(barreiras_de_recifes recifes_de_coral recife_de_coral)
concentrar	(tornar alterar raciocínar refletir pensar revoltar-se revoltar
            mudar modificar)
Adventismo	(cristianismo)
força_centrífuga	(força)
Vanilla_planifolia	(baunilha)
tartufo	(trapaceiro)
corte_de_carne	(carne vianda)
analizar_sintaticamente	(analisar)
dissidente	(alma indivíduo ser_humano alguém pessoa)
engenharia_genética	(biotecnologia)
Crimes_de_guerra	(ofensa crime)
maquinar	(planejar)
representar	(fazer atuar personificar igualar exercer simbolizar equivaler
             estar indicar significar querer_dizer ser incorporar encarnar
             vebalizar expressar proferir recriar desempenhar apresentar servir
             figurar)
terra_zero	(lugar)
ducado	(peça domínio classe hierarquia posição posto moeda divisa prata)
redemoinho	(turbilhão correnteza forma_redonda fluxo corrente)
gengibirra	(bebida)
lençóis_freáticos	(formação_geológica formação)
tímpano	(membrana Instrumentos_de_percussão Instrumento_de_percussão)
salinidade	(sabor atributo gosto)
gemir	(emitir enunciado expressão soltar)
Aparelho_reprodutor	(sistema)
psicanalista	(psiquiatra encolhimento)
Ontologia	(metafísica Metafísica)
compensar	(equilibrar dispor alienar alterar mudar modificar combinar pagar)
Plantas_carnívoras	(erva maconha)
pepino	(melão legume verdura hortaliça vegetal)
headbanger	(amante)
Moshav	(aldeia povoado vila)
Dor	(sentimento emoção impressão)
anelo	(nostalgia anseio suspiro saudade apetite pretensão desejo)
lémur-de-cauda-anelada	(lémure lêmure)
sugue	(ingestão)
resíduos_de_papel	(papel Papel carta)
transição_de_fase	(atividade)
escorriçar	(ferir machucar lesar lesionar)
mês_sideral	(período_sideral mês)
porco	(świnia suíno vianda carne Artiodáctilos ungulados artiodátilos
       artiodátilo)
equação_diferencial	(equação Equaçao Equações)
aguardente	(álcool bebida_alcoólica)
Jolly_Roger	(pendão Bandeira bandeira pavilhão estandarte)
pomo	(fruta fruto)
veronal	(barbitúrico Barbitúricos Barbiturico)
Polissacarídeos	(açúcar Carboidratos carboidrato hidratos_de_carbono)
empossar	(instalar)
agronomia	(ciência)
deflorar	(copular acasalar)
Chá_preto	(chá)
chicle	(resina)
peru	(carne_de_ave aves_domésticas ave_doméstica galinha aves_de_capoeira)
lustro	(período etapa tempo)
Papel_Social_de_Gênero	(papel função Papel_social)
destilação	(atividade líqüido)
